word,phonetic,partOfSpeech,chinese,grade,semester,unit,page
itself,/ɪtˈself/,pron.,它自己,8,下册,9,67
collect,/kəˈlekt/,v.,收集；采集,8,下册,9,67
a couple of,/ə ˈkʌpl əv/,phrase,两个；一对；几个,8,下册,9,68
German,/ˈdʒɜːmən/,adj.,德国的；德语的；德国人的,8,下册,9,68
theme,/θiːm/,n.,主题,8,下册,9,68
ride,/raɪd/,n.,供乘骑的游乐设施；短途旅程,8,下册,9,68
province,/ˈprɒvɪns/,n.,省份,8,下册,9,68
thousand,/ˈθaʊznd/,num.,一千,8,下册,9,70
thousands of,/ˈθaʊzndz əv/,phrase,数以千计的；许许多多的,8,下册,9,70
on the one hand...on the other hand...,/ɒn ðə wʌn hænd ɒn ði ˈʌðə(r) hænd/,phrase,一方面……另一方面……,8,下册,9,70
safe,/seɪf/,adj.,安全的；无危险的,8,下册,9,70
population,/ˌpɒpjuˈleɪʃn/,n.,人口；人口数量,8,下册,9,70
simply,/ˈsɪmpli/,adv.,仅仅；只；不过,8,下册,9,70
rear,/rɪə(r)/,v.,养育；抚养,8,下册,9,70
whether,/ˈweðə(r)/,conj.,不管……；或者……；是否,8,下册,9,70
Indian,/ˈɪndiən/,adj.,印度的,8,下册,9,70
Japanese,/ˌdʒæpəˈniːz/,adj.,日本的；日本人的；日语的,8,下册,9,70
fox,/fɒks/,n.,狐狸,8,下册,9,70
all year round,/ɔːl jɪə(r) raʊnd/,phrase,全年,8,下册,9,70
equator,/ɪˈkweɪtə(r)/,n.,赤道,8,下册,9,70
whenever,/wenˈevə(r)/,conj.,在任何……的时候；无论何时,8,下册,9,70
spring,/sprɪŋ/,n.,春天,8,下册,9,70
mostly,/ˈməʊstli/,adv.,主要地；通常,8,下册,9,71
location,/ləʊˈkeɪʃn/,n.,地点；位置,8,下册,9,71
yard,/jɑːd/,n.,院子,8,下册,10,73
yard sale,/jɑːd seɪl/,phrase,庭院拍卖会,8,下册,10,73
sweet,/swiːt/,adj.,甜蜜的；甜的；含糖的,8,下册,10,73
memory,/ˈmeməri/,n.,记忆；回忆,8,下册,10,73
cent,/sent/,n.,分；分币,8,下册,10,73
toy,/tɔɪ/,n.,玩具,8,下册,10,74
bear,/beə(r)/,n.,熊,8,下册,10,74
maker,/ˈmeɪkə(r)/,n.,生产者；制订者,8,下册,10,74
bread maker,/bred ˈmeɪkə(r)/,phrase,面包机,8,下册,10,74
scarf,/skɑːf/,n.,围巾；披巾；头巾,8,下册,10,74
soft,/sɒft/,adj.,软的；柔软的,8,下册,10,74
soft toy,/sɒft tɔɪ/,phrase,软体玩具；布绒玩具,8,下册,10,74
check,/tʃek/,v.&n.,检查；审查,8,下册,10,74
check out,/tʃek aʊt/,phrase,察看；观察,8,下册,10,74
board,/bɔːd/,n.,板；木板,8,下册,10,74
board game,/bɔːd ɡeɪm/,phrase,棋类游戏,8,下册,10,74
junior,/ˈdʒuːniə(r)/,adj.,地位低的；初级的,8,下册,10,75
junior high school,/ˈdʒuːniə(r) haɪ skuːl/,phrase,初级中学,8,下册,10,75
clear,/klɪə(r)/,v.,清理；清除,8,下册,10,75
clear out,/klɪə(r) aʊt/,phrase,清理；去掉,8,下册,10,75
bedroom,/ˈbedruːm/,n.,卧室,8,下册,10,75
no longer,/nəʊ ˈlɒŋɡə(r)/,phrase,不再；不复,8,下册,10,75
own,/əʊn/,v.,拥有；有,8,下册,10,75
railway,/ˈreɪlweɪ/,n.,铁路；铁道,8,下册,10,75
part,/pɑːt/,v.,离开；分开,8,下册,10,75
part with,/pɑːt wɪð/,phrase,放弃、交出,8,下册,10,75
certain,/ˈsɜːtn/,adj.,某种；某事；某人,8,下册,10,75
as for,/əz fɔː(r)/,phrase,至于；关于,8,下册,10,75
honest,/ˈɒnɪst/,adj.,诚实的；老实的,8,下册,10,75
to be honest,/tuː bi ˈɒnɪst/,phrase,说实在的,8,下册,10,75
while,/waɪl/,n.,一段时间；一会儿,8,下册,10,75
truthful,/ˈtruːθfl/,adj.,诚实的；真实的,8,下册,10,75
gun,/ɡʌn/,n.,枪；炮,8,下册,10,76
sand,/sænd/,n.,沙滩；沙,8,下册,10,76
hometown,/ˈhəʊmtaʊn/,n.,家乡；故乡,8,下册,10,76
search,/sɜːtʃ/,v.&n.,搜索；搜查,8,下册,10,78
among,/əˈmʌŋ/,prep.,在……中；……之一,8,下册,10,78
crayon,/ˈkreɪən/,n.,彩色铅笔,8,下册,10,78
shame,/ʃeɪm/,n.,羞耻；羞愧；惭愧,8,下册,10,78
nowadays,/ˈnaʊədeɪz/,adv.,现今；现在；目前,8,下册,10,78
century,/ˈsentʃəri/,n.,百年；世纪,8,下册,10,78
count,/kaʊnt/,v.,数数,8,下册,10,78
regard,/rɪˈɡɑːd/,v.,将……认为；把……视为；看待,8,下册,10,78
according,/əˈkɔːdɪŋ/,prep.,依据；按照,8,下册,10,78
opposite,/ˈɒpəzɪt/,prep.,与……相对；在……对面,8,下册,10,78
especially,/ɪˈspeʃəli/,adv.,尤其；特别；格外,8,下册,10,78
childhood,/ˈtʃaɪldhʊd/,n.,童年；幼年,8,下册,10,78
consider,/kənˈsɪdə(r)/,v.,注视；仔细考虑,8,下册,10,79
close to,/kləʊs tuː/,phrase,几乎；接近,8,下册,10,79
hold,/həʊld/,v.,拥有；抓住,8,下册,10,79
